Vorname,Nachname,Email,Produktname,Preis,Datum,Menge
Ilonka,Tintzmann,ilonka.tintzmann@web.de,Seife,0.69,02.04.2021,7
Karl-Werner,Seidel,karl-werner.seidel@yahoo.de,Duschgel,1.09,27.03.2021,1
Ernestine,Salz,ernestine.salz@gmail.com,Desinfektionsmittel,5.24,25.03.2021,3
Catrin,Faust,catrin.faust@yahoo.de,Seife,0.69,01.04.2021,8
Ilonka,Tintzmann,ilonka.tintzmann@web.de,Desinfektionsmittel,5.24,11.04.2021,3
Franz,Naser,franz.naser@gmx.de,Seife,0.69,19.04.2021,1
Grete,Beier,grete.beier@googlemail.com,Rasierklingen,22.49,26.03.2021,1
Regina,Zobel,regina.zobel@aol.de,Desinfektionsmittel,5.24,27.02.2021,9
Mato,Gorlitz,mato.gorlitz@web.de,Duschgel,1.09,26.04.2021,5
Karl-Werner,Zobel,karl-werner.zobel@yahoo.de,Duschgel,1.09,09.05.2021,7
Henny,Holsten,henny.holsten@web.de,Desinfektionsmittel,5.24,28.04.2021,9
Henny,Holsten,henny.holsten@web.de,Seife,0.69,05.03.2021,3
Volkhard,Aumann,volkhard.aumann@gmail.com,Toilettenpapier,2.49,16.04.2021,2
Sibylla,Vogt,sibylla.vogt@gmx.de,Duschgel,1.09,20.03.2021,8
Mato,Gorlitz,mato.gorlitz@web.de,Seife,0.69,26.04.2021,1
Karl-Werner,Seidel,karl-werner.seidel@yahoo.de,Toilettenpapier,2.49,08.02.2021,10
Mato,Gorlitz,mato.gorlitz@web.de,Seife,0.69,22.04.2021,2
Karl-Werner,Zobel,karl-werner.zobel@yahoo.de,Desinfektionsmittel,5.24,27.02.2021,6
Sibylla,Vogt,sibylla.vogt@gmx.de,Desinfektionsmittel,5.24,24.02.2021,2
Hildegund,Margraf,hildegund.margraf@googlemail.com,Rasierschaum,1.35,25.03.2021,3
Franz,Naser,franz.naser@gmx.de,Toilettenpapier,2.49,30.04.2021,5
Karl-Werner,Seidel,karl-werner.seidel@yahoo.de,Toilettenpapier,2.49,09.02.2021,7
Karl-Werner,Seidel,karl-werner.seidel@yahoo.de,Toilettenpapier,2.49,29.04.2021,2
Catrin,Faust,catrin.faust@yahoo.de,Desinfektionsmittel,5.24,03.04.2021,10
Jann,Stiffel,jann.stiffel@aol.de,Rasierklingen,22.49,03.02.2021,9
Riza,Hettner,riza.hettner@gmx.de,Rasierklingen,22.49,05.03.2021,10
Henny,Holsten,henny.holsten@web.de,Rasierklingen,22.49,04.04.2021,2
Hildegund,Margraf,hildegund.margraf@googlemail.com,Toilettenpapier,2.49,16.03.2021,3
Volkhard,Aumann,volkhard.aumann@gmail.com,Desinfektionsmittel,5.24,07.03.2021,5
Hubertus,Süßebier,hubertus.süßebier@aol.de,Desinfektionsmittel,5.24,27.04.2021,9
Karl-Werner,Zobel,karl-werner.zobel@yahoo.de,Duschgel,1.09,17.04.2021,1
Hildegund,Margraf,hildegund.margraf@googlemail.com,Seife,0.69,06.04.2021,2
Ilonka,Tintzmann,ilonka.tintzmann@web.de,Desinfektionsmittel,5.24,27.04.2021,1
Karl-Werner,Seidel,karl-werner.seidel@yahoo.de,Rasierschaum,1.35,07.03.2021,6
Riza,Hettner,riza.hettner@gmx.de,Rasierschaum,1.35,06.02.2021,5
Sibylla,Vogt,sibylla.vogt@gmx.de,Toilettenpapier,2.49,13.03.2021,4
Ilonka,Tintzmann,ilonka.tintzmann@web.de,Rasierschaum,1.35,19.02.2021,4
Riza,Hettner,riza.hettner@gmx.de,Rasierklingen,22.49,28.02.2021,1
